GenreID,GenreName
3,20Th Century
4,21St Century
5,A+
6,Abuse
7,Accounting
8,Acting & Auditioning
9,Action & Adventure
10,Activities
11,Activity Books
12,Adaptations
14,Adolescence
15,Adolescence & Coming Of Age
16,Adolescent
17,Adoption & Fostering
18,Adult
19,Adult & Continuing Education
20,Adult Children Of Substance Abusers
21,Adventure
22,Adventure & Adventurers
24,Aeronautics
25,Aesthetics
26,Affirmations
27,Africa
28,African
29,African American
30,African American Studies
31,Aging
32,Agriculture
33,Air Sports
34,Alcohol
35,Alcoholic
36,Alligators & Crocodiles
37,Alphabet
38,Alternative & Complementary Medicine
40,Alternative History
41,Alternative Therapies
42,American
43,American Government
44,Americas (North
45,Amish
46,Amphibians & Terrariums
47,Anatomy & Physiology
48,Ancient
49,Ancient & Classical
50,Ancient Civilizations
51,Ancient Mysteries & Controversial Knowledge
52,Anecdotes & Quotations
53,Angels & Spirit Guides
54,Anger Management
55,Animals
56,Annuals
57,Anthologies
59,Anthropology
60,Antiques & Collectibles
61,Apes
62,Apologetics
63,Appetizers
64,Applied Psychology
65,Applied Sciences
66,Applique
67,Appreciation
68,Archaeology
69,Architects
70,Architecture
71,Arms Control
72,Aromatherapy
73,Art
74,Art & Architecture
75,Arthurian
76,Artists
77,Asia
79,Asian American
80,Asian American Studies
81,Astrology
82,Astronautics & Space Science
83,Astronomy
84,Astrophysics
85,Atlases
87,Australia & Oceania
88,Authorship
89,Automotive
90,Aviation
91,Baby Names
92,Baking
93,Baltic States
94,Banks & Banking
95,Baptist
96,Barbecue & Grilling
97,Baseball
98,Baseball & Softball
99,Basketball
100,Bears
101,Beauty & Grooming
103,Beer
104,Beginner
105,Benelux Countries (Belgium
106,Bereavement
107,Beverages
108,Bible Stories
109,Bibles
110,Biblical Biography
111,Biblical Commentary
113,Biblical Meditations
114,Biblical Reference
115,Biblical Studies
116,Bibliographies & Indexes
117,Biochemistry
118,Biographical
119,Biography & Autobiography
120,Biology
121,Biostatistics
122,Biotechnology
123,Bipolar Disorder
124,Birds
125,Birds & Birdwatching
126,Birdwatching Guides
127,Birthdays
128,Blended Families
129,Board Games
131,Boating
132,Boats
133,Body
134,Bodybuilding & Weight Training
135,Book Notes
136,Books
137,Books & Reading
138,Boxing
139,Boys & Men
306,Dating & Relationships
2,19Th Century
39,Alternative Family
308,Death
309,Death & Dying
310,Decorating
311,Decorating & Furnishings
312,Democracy
313,Depression
320,Developmental
351,Early Childhood (Incl. Preschool & Kindergarten)
483,Gender Studies
575,Individual Architects & Firms
639,Language Arts & Disciplines
660,Library & Information Science
796,New Testament & Portions
813,Oceans & Seas
166,Calligraphy
167,Campaigns & Elections
168,Camping
169,Canada
170,Canadian
171,Cancer
173,Card Games
174,Career Development
175,Careers
176,Caretaking & Organizing
177,Caribbean & West Indies
178,Carpentry
179,Cars & Trucks
180,Casseroles
181,Catalogs
182,Catholic
183,Cats
184,Central
185,Central America
187,Channeling & Mediumship
188,Chaotic Behavior In Systems
189,Chapter Books
190,Chemistry
191,Chemotherapy
192,Chess
193,Child
194,Child & Adolescent
195,Children
196,Children & Youth
197,Children With Special Needs
198,Children'S Music
199,Children'S Studies
200,China
201,Chinese
202,Chocolate
203,Christian
205,Christian Life
206,Christian Living
207,Christian Ministry
208,Christian Rituals & Practice
209,Christian Theology
210,Christianity
211,Christmas & Advent
213,Circus
214,City & Town Life
215,City Planning & Urban Development
216,Civics & Citizenship
217,Civil
218,Civil Law
219,Civil Procedure
220,Civil Rights
221,Civil War Period (1850-1877)
222,Civilization
223,Classic & Allegory
224,Classical
225,Classical & Ballet
226,Classical & Medieval
227,Classics
228,Classroom Management
229,Cleaning
230,Cleaning & Caretaking
231,Clergy
232,Clinical Psychology
234,Coaching
235,Coffee & Tea
236,Cognitive Neuroscience & Cognitive Neuropsychology
237,Cognitive Psychology & Cognition
238,Collections
239,Collections & Anthologies
240,Colonial & Revolutionary Periods
241,Colonial Period (1600-1775)
242,Colors
243,Comic Strips & Cartoons
245,Coming Of Age
246,Commerce
247,Commercial & Industrial
248,Communication Studies
249,Communism
250,Comparative
251,Comparative Religion
252,Composers & Musicians
253,Composition & Creative Writing
254,Compulsive Behavior
255,Computer Graphics
256,Computer Science
257,Computers
258,Concepts
259,Condiments
260,Conflict Resolution
262,Conservatism & Liberalism
263,Constitutional
264,Constitutions
265,Consulting
266,Consumer Behavior
267,Consumer Guides
268,Container
269,Contemporary
270,Contemporary Women
271,Cookery For One
272,Cookies
273,Cooking
275,Corporate & Business History
276,Cosmology
277,Counseling
278,Counseling & Recovery
279,Counting & Numbers
280,Country & Bluegrass
281,Country & Ethnic
282,Courses & Dishes
283,Courts
284,Crafts & Hobbies
285,Crafts For Children
286,Creativity
287,Crime
289,Criminals & Outlaws
290,Criminology
291,Criticism
292,Cults
293,Cultural
294,Cultural & Social
295,Cultural Heritage
296,Curiosities & Wonders
297,Customer Relations
299,Cycling
300,De
301,Dance
302,Darkroom
303,Database Management
304,Databases
305,Date & Time
929,Production & Operations Management
165,California Style
966,Reggae
967,Regional
968,Regional & Ethnic
969,Regional Studies
970,Reiki
971,Relationships
972,Relativity
973,Religion
974,Religion & Science
975,Religious
976,Remodeling & Renovation
987,Revolutionary Period (1775-1800)
325,Diagnosis
326,Dictionaries
327,Diet & Nutrition
328,Diet Therapy
329,Diets
330,Digital
332,Dinosaurs & Prehistoric Creatures
333,Diplomacy
334,Direction & Production
335,Disabilities & Special Needs
336,Discrete Mathematics
337,Discrimination & Race Relations
338,Diseases
339,Divorce & Separation
340,Do-It-Yourself
341,Dogs
342,Dolls
344,Dough
345,Drama
346,Drawing
347,Dreams
348,Ducks
349,E-Commerce
350,Esp (Clairvoyance
352,Earth Sciences
353,East North Central (Il
354,East South Central (Al
355,Easter & Lent
356,Eastern
357,Eating Disorders
358,Eating Disorders & Body Image
359,Ecology
360,Economic Development
361,Economic History
362,Economic Policy
363,Economics
364,Ecosystems & Habitats
365,Editing & Proofreading
366,Editors
367,Education
368,Educational Policy & Reform
369,Educational Psychology
370,Educators
371,Eldercare
372,Elections
373,Electronic Commerce
374,Electronic Publishing
375,Electronics
376,Elementary
377,Elephants
378,Embryology
380,Emotions
381,Emotions & Feelings
382,Encyclopedias
383,Energy (Qigong
384,Engineering (General)
385,English
386,Enterprise Applications
387,Entertaining
389,Entrepreneurship
390,Environment
391,Environmental
392,Environmental Conservation & Protection
393,Environmental Science
394,Environmental Science & Ecosystems
395,Epic
396,Episcopalian
397,Epistemology
398,Equestrian
399,Equipment
400,Erotica
401,Eschatology
402,Espionage
403,Essays
404,Essays & Narratives
405,Essays & Travelogues
406,Essays & Writings
407,Estates & Trusts
408,Ethics
410,Ethnic & Regional
411,Ethnic & Tribal
412,Ethnic Studies
413,Etiquette
414,Etymology
415,Europe
416,European
417,Evangelism
418,Evolution
419,Executive Branch
420,Exercise
421,Exhibitions
423,Experiments & Projects
424,Exploration & Discovery
425,Extended Family
426,Fl
427,Fables
428,Fairy Tales
429,Fairy Tales & Folklore
430,Faith
431,Family
432,Family & Relationships
433,Family Life
434,Fantasy
435,Fantasy & Magic
436,Farm & Ranch Life
437,Farm Animals
438,Fashion
440,Fatherhood
441,Feminism & Feminist Theory
442,Feminist
443,Feng Shui
444,Fiction
445,Film
446,Film & Video
447,Finance
448,Financial
449,Fish
450,Fish & Aquariums
451,Fishing
452,Flowers
453,Folk Tales
454,Folkcrafts
456,Food
457,Food Content Guides
458,Football
459,Foreign Language Study
460,Form
461,Fossils
1049,Short Stories (Single Author)
324,Diabetic & Sugar-Free
1067,Social Topics
1141,Tests (Other)
1171,Ut
1173,United States
1177,Valentine'S Day
1178,Values & Virtues
1188,Visionary & Metaphysical
1195,Wi)
1196,Wv)
1197,Wy)
1198,War & Military
1213,Western
1231,Women'S Issues
1232,Women'S Studies
496,Golf
497,Gothic
498,Gourmet
499,Government
500,Grammar & Punctuation
501,Grandparenting
502,Graphic Arts
503,Great Britain
504,Greece
505,Greek
507,Grief
508,Guides & Reviews
509,Guinea Pigs
510,Gynecology & Obstetrics
511,Hi
512,Html
513,Halloween
514,Hamsters
515,Hand Tools
516,Happiness
518,Hard-Boiled
519,Hardware
520,Healing
521,Health & Daily Living
522,Health & Fitness
523,Health & Healing
524,Health Care Delivery
525,Health Care Issues
526,Healthy Living
527,Heart
528,Herbal Medications
529,Herbs
530,High Tech
531,Higher
532,Hiking
533,Hinduism
535,Historical
536,Historiography
537,History
538,History & Criticism
539,History & Culture
540,History & Philosophy
541,History & Surveys
542,History & Theory
543,Hockey
544,Holiday
545,Holidays
547,Holism
548,Holistic Medicine
549,Holocaust
550,Home Schooling
551,Homelessness & Poverty
552,Homeopathy
553,Horror
554,Horror & Ghost Stories
555,Horse Racing
556,Horses
557,Hospitality
558,House & Home
560,Human Anatomy & Physiology
561,Human Resources & Personnel Management
562,Human Sexuality
563,Humanistic
564,Humor
565,Humorous
566,Humorous Stories
567,I Ching
568,Id
569,In
570,Illnesses & Injuries
571,Imagination & Play
572,Immune & Autoimmune
573,Immunology
574,India & South Asia
576,Individual Artists
577,Individual Photographers
578,Industrial & Organizational Psychology
579,Industrial Management
580,Industries
581,Infants & Toddlers
582,Infectious Diseases
583,Information Technology
584,Insects
585,Inspiration & Personal Growth
586,Inspirational
587,Inspirational & Religious
588,Instruction & Study
589,Intelligence & Espionage
590,Interactive & Multimedia
592,Interior Design
593,Intermediate
594,International
595,International Relations
596,International Security
597,Internet
598,Internet Marketing
599,Interpersonal Relations
600,Intranets & Extranets
601,Investing
602,Investments & Securities
603,Ireland
604,Irish
605,Islam
606,Islamic Studies
607,Israel & Palestine
608,Italian
609,Italy
611,Japanese
612,Japanese Gardens
613,Java
614,Javascript
615,Jazz
616,Jewelry
617,Jewish
618,Job Hunting
620,Journalism
621,Journalists
622,Judaism
1003,Russia & The Former Soviet Union
1021,Science Fiction & Fantasy
1037,Semiotics & Theory
1233,Wood Toys
1242,Writing
1,17Th Century
314,Design
486,Genetics & Genomics
487,Genres & Styles
488,Geography
489,German
490,Germany
491,Gerontology
492,Ghost
494,Glass & Glassware
495,Globalization
1245,Yearbooks & Annuals
661,Life Sciences
662,Life Stages
663,Lifespan Development
664,Lifestyles
665,Linguistics
666,Lions
667,Literary
668,Literary Collections
669,Literary Criticism
670,Literary Criticism & Collections
673,Lodging & Transportation
674,Logic
675,Logic & Brain Teasers
676,Love & Erotica
677,Love & Marriage
678,Love & Romance
679,Low Fat
680,Luxembourg)
681,Md
682,Mi
683,Ms
684,Mt
687,Maintenance & Repair
688,Mammals
689,Management
690,Management Science
691,Manga
692,Manners & Etiquette
693,Maps & Road Atlases
694,Marine Life
695,Marketing
697,Marriage & Divorce
698,Marriage & Family
699,Marriage & Long-Term Relationships
700,Martial Arts & Self-Defense
701,Massage & Reflexotherapy
702,Maternity
704,Mathematics
705,Maturing
706,Meat
707,Media Studies
